Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20081,ACCT,6620,001,,,"FREDERICK, DAVID",25,25,1,5.359375,0.699951171875,5.599609375,0.5772705078125,4-6,4.439453125,5.439453125,5.0390625,4.919921875,4.919921875,5.7998046875,"ADV AUD/BUS RISK & DEC",,,,,,,BD,BU,,GR,BU,TTT,1
20081,ACCT,6620,002,,,"FREDERICK, DAVID",22,22,1,5.681640625,0.56787109375,5.9541015625,0.21319580078125,4-6,4.5,5.4541015625,5.2724609375,5.0908203125,5.4541015625,6,"ADV AUD/BUS RISK & DEC",,,,,,,BD,BU,,GR,BU,TTT,1
20081,ACCT,7300,001,OL,,"SHANE, PHILIP",4,4,1,6,0,6,0,10-12,6,6,6,5.75,6,6,"DOC SEM:INTRO ACCT RSRCH",,,,,,,BD,BU,,GR,BU,TTT,1
20081,AIRR,1020,010,,,"HENDERSON, SETH",13,9,1,5,0.865966796875,5.625,0.7440185546875,0-3,4.666015625,5.3330078125,5.5546875,4.3330078125,4.77734375,5.77734375,"FOUNDATIONS OF USAF II",,,,,,,BD,XX,,LD,AIRR,OTH,1
20081,AIRR,1020,020,,,"HENDERSON, SETH",34,30,1,5.5,0.8609619140625,5.69921875,0.7943115234375,0-3,5.19921875,5.533203125,5.666015625,4.06640625,4.8994140625,5.8994140625,"FOUNDATIONS OF USAF II",,,,,,,BD,XX,,LD,AIRR,OTH,1
20081,AIRR,1020,030,,,"WHITE, CHRISTOPHER",8,7,1,5.5712890625,0.7867431640625,6,0,7-9,4.5712890625,5.7138671875,5.8564453125,3.85693359375,5.427734375,6,,,,,,,,BD,XX,,LD,AIRR,OTH,1
20081,AIRR,2020,010,,,"ALDRICH, LINDA",16,15,1,5.4658203125,0.639892578125,5.8662109375,0.351806640625,4-6,4.8662109375,5.666015625,5.8662109375,4.599609375,5.06640625,6,"EVL USAF AIR/SPACE PWR 2",,,,,,,BD,XX,,LD,AIRR,OTH,1
20081,AIRR,2020,020,,,"ALDRICH, LINDA",23,23,1,5.4345703125,0.662353515625,5.73828125,0.448974609375,7-9,5.34765625,5.6513671875,5.73828125,4.4775390625,5.173828125,5.9560546875,"EVL USAF AIR/SPACE PWR 2",,,,,,,BD,XX,,LD,AIRR,OTH,1
20081,AIRR,3020,010,,,"FOX, KIMBERLY",14,13,1,4.9228515625,0.8623046875,5.23046875,0.83203125,4-6,5.615234375,5.076171875,5.615234375,3.38427734375,4.5380859375,6,"AIR FORCE LDRSHP STDS II",,,,,,,BD,XX,,UD,AIRR,OTH,1
20081,AIRR,3020,020,,,"FOX, KIMBERLY",27,22,1,4.9541015625,0.9989013671875,5.36328125,0.7266845703125,7-9,5,5.408203125,5.3173828125,4,4.7724609375,5.89453125,"AIR FORCE LDRSHP STDS II",,,,,,,BD,XX,,UD,AIRR,OTH,1
